Data_Publicacao,Manchete,Score_IA,Classificacao
2024-04-14 07:00:00,Bitcoin and other cryptocurrencies tumble amid Middle East tensions - CNBC,-0.0625,Neutro
2024-04-15 07:00:00,"Hong Kong gives initial approval to first bitcoin, ether spot ETFs, say funds - Reuters",0.125,Positivo (Comprar)
2024-04-15 07:00:00,Cryptoverse: Hold for the halving - Reuters,0.0,Neutro
2024-04-15 07:00:00,Bitcoin’s latest crash shows crypto is no haven during wartime - Fortune,0.5,Positivo (Comprar)
2024-04-16 07:00:00,Bitcoin 24 - CADTM,0.0,Neutro
2024-04-16 07:00:00,"Core Scientific to Expand its Denton, Texas Bitcoin Mining Data Center by 72 Megawatts - Core Scientific",-0.1,Neutro
2024-04-16 07:00:00,"Bitcoin Halving Explained: History, Impact, & 2024 Predictions - VanEck",0.0,Neutro
2024-04-16 07:00:00,Here is everything you need to know about the bitcoin halving - MarketWatch,0.0,Neutro
2024-04-16 07:00:00,How Bitcoin Could Impact Financial Inclusivity Among Minority Groups - Bitcoin Magazine,0.0,Neutro
2024-04-16 07:00:00,Bitcoin halving is likely this week — here's what you need to know - CNBC,0.0,Neutro
2024-04-16 07:00:00,Bitcoin Halving: Digital Scarcity in Action - galaxy.com,0.05,Neutro
2024-04-16 07:00:00,A big thing has just happened to Bitcoin. It's called the halving - WFAE,0.0,Neutro
2024-04-17 07:00:00,Bitcoin’s Halving Is Coming. Miners Are Looking for New Ways to Make Money. - WSJ,0.1364,Positivo (Comprar)
2024-04-17 07:00:00,‘Access Bitcoin Investment’ is not a legitimate platform operating in Nigeria - Africa Check,0.0,Neutro
2024-04-17 07:00:00,Why Cathie Wood Sees Bitcoin Price Soaring To $3.8 Million - Investor's Business Daily,0.0,Neutro
2024-04-17 07:00:00,What is a real-world example of bitcoin’s utility? - Bitwise Investments,0.0,Neutro
2024-04-17 07:00:00,What Is Bitcoin Halving? What To Expect From Bitcoin Prices - Forbes,0.0,Neutro
2024-04-17 07:00:00,What’s the Deal With the Bitcoin Halving? - Time Magazine,0.0,Neutro
2024-04-17 07:00:00,The Bitcoin halving is imminent. What does that mean for investors? - Fast Company,-0.0562,Neutro
2024-04-18 07:00:00,Jamie Dimon calls bitcoin a 'fraud' and a 'Ponzi scheme' — and says the crypto is hopeless as a currency - Yahoo Finance,0.0,Neutro
2024-04-18 07:00:00,Bitcoin Halving: 4 Things That Will Happen After This Week's Big Crypto Event - money.com,0.0,Neutro
2024-04-18 07:00:00,"Don't count on a big Bitcoin rally after the big 'halving' event, JPMorgan says - qz.com",0.0,Neutro
2024-04-18 07:00:00,"Bitcoin is a “Decentralized Ponzi Scheme,” JP Morgan CEO Jamie Dimon Reiterates Negative Stance - Yahoo Finance",-0.3,Negativo (Vender)
2024-04-18 07:00:00,The ‘halving’ — bitcoin bros’ World Cup — is here - CNN,0.0,Neutro
2024-04-18 07:00:00,Grayscale’s Once-Mighty Fund Is Bleeding Bitcoin - WSJ,0.0,Neutro
2024-04-18 07:00:00,What Is Bitcoin Halving and Why Is It Important? - Kiplinger,0.4,Positivo (Comprar)
2024-04-18 07:00:00,What's going to be different with the halving of Bitcoin this time? - Euronews.com,0.0,Neutro
2024-04-18 07:00:00,"What does the 2024 bitcoin ‘halving’ event mean for miners, investors? - Northeastern Global News",-0.1562,Negativo (Vender)
2024-04-18 07:00:00,"In markets, this time is almost never different. This Bitcoin halving is different. - Kraken Blog",0.0,Neutro
2024-04-18 07:00:00,"Bitcoin slides below $60,000 on reports Israel strikes Iran - Reuters",0.0,Neutro
2024-04-19 07:00:00,What the Next Bitcoin Halving Means for ETF Investors - Morningstar,0.0,Neutro
2024-04-19 07:00:00,Worsening US debt outlook seen more in gold and bitcoin than in bonds - Reuters,0.5,Positivo (Comprar)
2024-04-19 07:00:00,The Bitcoin network completes the fourth-ever ‘halving’ of rewards to miners - CNBC,0.0,Neutro
2024-04-19 07:00:00,Opinion: Why there will never be another Bitcoin - Kraken Blog,0.0,Neutro
2024-04-19 07:00:00,Miners double down on bitcoin halving - Financial Times,-0.0519,Neutro
2024-04-19 07:00:00,Bitcoin’s halving will be over in a flash—but reaping the benefits could take months - Fortune,0.0,Neutro
2024-04-19 07:00:00,"So, Bitcoin Halving Is Done. What Happened and What's Next? - Investopedia",0.0,Neutro
2024-04-19 07:00:00,"Bitcoin just completed its fourth-ever 'halving,' here’s what investors need to watch now - CNBC",0.0,Neutro
2024-04-19 07:00:00,What is bitcoin halving – and will it affect the price? - The Guardian,0.0,Neutro
2024-04-19 07:00:00,"Bitcoin halving isn't a big deal for long-term investors, but may have a 'huge' impact on one key group, says Columbia professor - CNBC",0.1333,Positivo (Comprar)
2024-04-19 07:00:00,What is an inverse bitcoin ETF? - The Block,0.0,Neutro
2024-04-19 07:00:00,The Bitcoin halving just happened — here’s what it means - dlnews.com,0.0,Neutro
2024-04-19 07:00:00,Bitcoin's 'halving': what is it and does it matter? - Reuters,0.0,Neutro
2024-04-20 07:00:00,How a Jack Dorsey-backed bitcoin miner uses a volcano in Kenya to turn on the lights in rural homes - CNBC,0.0,Neutro
2024-04-20 07:00:00,Bitcoin’s latest halving is now complete. Here’s what could happen next - Fortune,0.2,Positivo (Comprar)
2024-04-20 07:00:00,"Bitcoin Halving Explained: History, Impact, & 2024 Predictions - VanEck",0.0,Neutro
2024-04-21 07:00:00,Bitcoin holds steady after completing fourth-ever halving - Fox Business,0.1667,Positivo (Comprar)
2024-04-21 07:00:00,Bitcoin miners upgrade power centers and get into AI to brace for slashed revenue post halving - CNBC,0.0,Neutro
2024-04-22 07:00:00,Bitcoin Halving: What It Is And Its Potential Impact On Prices - Bankrate,0.0,Neutro
2024-04-22 07:00:00,"Bitcoin's Latest Halving is Complete, Here's What Happened - Investing News Network",0.3,Positivo (Comprar)
2024-04-22 07:00:00,What Is the Bitcoin Halving? How Bitcoin's Supply Is Limited - Decrypt,-0.0714,Neutro
2024-04-22 07:00:00,Bitcoin: A Unique Risk-Off Asset? - Ark Invest,0.375,Positivo (Comprar)
2024-04-22 07:00:00,The Bitcoin Halving is Here: What Does it Mean for Investors? - Morningstar Canada,-0.3125,Negativo (Vender)
2024-04-22 07:00:00,"#411: After Halving, Bitcoin’s Issuance Rate Has Slipped Below Gold’s Long-Term Supply Growth, & More - Ark Invest",0.5,Positivo (Comprar)
2024-04-22 07:00:00,Bitcoin’s E-Waste Problem is Hiding in Plain Sight - greenpeace.org,-0.2143,Negativo (Vender)
2024-04-22 07:00:00,Bitcoin Halving Is Here - Kaiko - Research,0.0,Neutro
2024-04-22 13:09:35,Bitcoin halving 2024 - LSEG,0.0,Neutro
2024-04-23 07:00:00,Americans’ trust in bitcoin grows after the SEC approves spot bitcoin ETFs - The Harris Poll,-0.1,Neutro
2024-04-24 07:00:00,Is It Time to Buy Bitcoin as the Yen Weakens? - JAPAN Forward,0.0,Neutro
2024-04-24 07:00:00,"Standard Chartered doubles down on its prediction that bitcoin will reach $150,000 by the end of the year - CNBC",-0.0778,Neutro
2024-04-24 07:00:00,Old Bitcoin wallets keep waking up: How many of the 1.8 million ‘lost’ coins are really gone? - Fortune,0.2667,Positivo (Comprar)
2024-04-24 07:00:00,Bitcoin’s Reputation Shines Brightly in 2024 - International Banker,0.35,Positivo (Comprar)
2024-04-24 07:00:00,Strike Launches Bitcoin App in Europe - Via TT,0.0,Neutro
2024-04-25 07:00:00,Several RIAs Take Big Stakes in Bitcoin ETFs - Wealth Management,0.0,Neutro
2024-04-25 07:00:00,"Cryptocurrency is making lots of noise, literally - CBS News",0.0,Neutro
2024-04-25 07:00:00,Bitcoin's Fourth Halving: This Time is Different? - Kaiko - Research,0.0,Neutro
2024-04-25 07:00:00,What is Bitcoin halving? - DW.com,0.0,Neutro
2024-04-26 07:00:00,Governments hold a surprising amount of Bitcoin - Yahoo Finance,0.7,Positivo (Comprar)
2024-04-26 07:00:00,Five charts that show crypto’s ‘seismic shift’ since spot Bitcoin ETF surge - dlnews.com,0.0,Neutro
2024-04-27 07:00:00,Bitcoin falls after DTCC rules out collateral for bitcoin-linked ETFs - MarketWatch,0.0,Neutro
2024-04-28 07:00:00,This Fully Ridiculous Argument Convinced Me to Buy Bitcoin and Hold It Forever - The Motley Fool,0.1333,Positivo (Comprar)
2024-05-01 07:00:00,Your Three Minutes In Digital Assets: Can Bitcoin Mining Outlive Block Subsidies? - S&P Global,0.0,Neutro
2024-05-01 07:00:00,‘Sell in May and Go Away’: The Seasonality of Crypto-asset Returns - CoinDesk,0.0,Neutro
2024-05-03 07:00:00,Winners and Losers In the Spot Bitcoin ETF Race - Morningstar,-0.2,Negativo (Vender)
2024-05-03 07:00:00,Marathon Digital Holdings Announces Bitcoin Production and Mining Operation Updates for April 2024 - MARA Holdings,0.0,Neutro
2024-05-05 07:00:00,Bitcoin trader loses almost $70 million after sending crypto to wrong online account address - Business Insider,-0.4,Negativo (Vender)
2024-05-06 07:00:00,Bitcoin and Ethereum bounce back after week of brutal losses — here’s why - dlnews.com,-0.4375,Negativo (Vender)
2024-05-06 07:00:00,Lawmakers send new ‘Bitcoin ATMs’ regulation to Gov. Phil Scott’s desk - VTDigger,0.1364,Positivo (Comprar)
2024-05-07 07:00:00,Grayscale Bitcoin Trust's shares jump after first inflow since January - Reuters,0.25,Positivo (Comprar)
2024-05-07 07:00:00,Investment Firm Discloses Over $1.8 Billion In Bitcoin ETF Holdings In SEC Filing - Bitcoin Magazine,-0.15,Negativo (Vender)
2024-05-08 07:00:00,Ohio State president’s connection to a nuclear Bitcoin mining operation - NBC4 WCMH-TV,0.0,Neutro
2024-05-08 07:00:00,List unspent transaction outputs by address on Bitcoin with Amazon Managed Blockchain Query - Amazon Web Services,0.0,Neutro
2024-05-09 07:00:00,Bitcoin Miner Core (CORZ) Converts Data-Center Infrastructure for AI - Bloomberg,0.0,Neutro
2024-05-09 07:00:00,Bitcoin mining energy consumption drops to two-month low - S&P Global,0.0,Neutro
2024-05-09 07:00:00,Bedford woman sentenced in Bitcoin murder-for-hire case - FOX 4 News Dallas-Fort Worth,0.3,Positivo (Comprar)
2024-05-10 07:00:00,Fisher Investments Reviews What Long-Term Investors Should Consider About Gold and Cryptocurrencies - Fisher Investments,0.0,Neutro
2024-05-10 07:00:00,Fatal Flaws In Modern Monetary Theory - Bitcoin Magazine,0.2,Positivo (Comprar)
2024-05-10 07:00:00,Jack Dorsey Says Bitcoin Price Will Go Beyond $1 Million in 2030 - CoinDesk,0.0,Neutro
2024-05-10 07:00:00,Jack Dorsey: Bitcoin Price to Hit $1 Million in 2030 - Decrypt,0.0,Neutro
2024-05-10 07:00:00,Bitcoin Rises. What Could Trigger a New Crypto Rally. - Barron's,0.1364,Positivo (Comprar)
2024-05-10 07:00:00,10 Best Bitcoin Wallets in 2025 - Ledger,1.0,Positivo (Comprar)
2024-05-10 07:00:00,Bitcoin hacker who took $72m returns funds in exchange for $7.2m as ‘bounty’ - dlnews.com,0.0,Neutro
2024-05-12 07:00:00,Wells Fargo Ventures into Crypto with Bitcoin ETF Investments - Yahoo Finance,0.0,Neutro
2024-05-13 07:00:00,Buncombe extends moratorium: California Bitcoin mine co. upends Western NC Cherokee County - The Asheville Citizen Times,0.0,Neutro
2024-05-13 07:00:00,Bitcoin’s File Format protectable in copyright: a Wright decision? - Wolters Kluwer,0.0,Neutro
2024-05-13 07:00:00,Biden Bans Chinese Bitcoin Mine Near U.S. Nuclear Missile Base (Published 2024) - The New York Times,-0.1409,Negativo (Vender)
2024-05-13 07:00:00,Time Is Running Out in the Hunt for Rare Bitcoin - WIRED,0.3,Positivo (Comprar)
2024-05-13 07:00:00,The Immaculate Expatriation: Bitcoin Jesus And The Exit Tax - Forbes,0.0,Neutro
2024-05-13 07:00:00,"Cryptocurrency Market News: JPMorgan, Wells Fargo Report Holding Spot Bitcoin ETFs - Investopedia",0.0,Neutro
2024-05-13 07:00:00,Why Jack Dorsey sees Bitcoin surging past $1m by 2030 - dlnews.com,-0.25,Negativo (Vender)
2024-05-13 07:00:00,BlackRock closes in on crown of world’s largest bitcoin fund - Financial Times,0.0,Neutro
2024-05-13 07:00:00,15 Biggest Publicly Traded Bitcoin Companies - Yahoo Finance,0.0,Neutro
2024-05-13 07:00:00,Tim Draper leads $3.5 mln funding round for six-employee startup behind bitcoin lending - Reuters,-0.3,Negativo (Vender)
2024-05-14 07:00:00,FAQs on Bitcoin ETF Mechanics - Bitwise Investments,0.0,Neutro
2024-05-14 07:00:00,Why bitcoin hasn't joined the latest meme stock craze this week - CNBC,0.5,Positivo (Comprar)
2024-05-14 07:00:00,"A Pension, a Cowboy, Hedge Funds: Here’s Who Is Buying Bitcoin ETFs - Bloomberg",0.0,Neutro
2024-05-14 07:00:00,"El Salvador mined nearly 474 bitcoins, adding to state crypto holding, in last three years - Reuters",0.05,Neutro
2024-05-14 07:00:00,Should I buy a Bitcoin ETF? Pros and cons of the newest way to invest in the cryptocurrency - Fortune,0.0,Neutro
2024-05-14 07:00:00,"Why Bitcoin Will Rise to $420,000, and What It Means for Portfolios - ThinkAdvisor",0.0,Neutro
2024-05-14 07:00:00,Countries Say No to Energy Guzzling Bitcoin Mines - greenpeace.org,0.0,Neutro
2024-05-14 07:00:00,Jack Dorsey Pledges $21M Toward Open-Source Development to Advance Bitcoin - observer.com,0.0,Neutro
2024-05-15 07:00:00,Wallet recovery firms buzz as locked-out crypto investors panic in bitcoin boom - Reuters,0.0,Neutro
2024-05-15 07:00:00,BTPI will research relationship between Bitcoin and financial freedom - Cornell Chronicle,0.0,Neutro
2024-05-15 07:00:00,Eruption in El Salvador: Bitcoin Mining Goes Volcanic - PaymentsJournal,0.0,Neutro
2024-05-15 07:00:00,Wisconsin Pension Buys $160 Million in Bitcoin ETFs | Chief Investment Officer - ai-cio.com,0.0,Neutro
2024-05-15 07:00:00,The Passion of Bitcoin Jesus - The University of Chicago Divinity School,0.0,Neutro
2024-05-15 07:00:00,"Izzy Englander's Millennium, Paul Singer’s Elliott Among Bitcoin ETF Holders - CoinDesk",0.0,Neutro
2024-05-15 07:00:00,Vanguard appoints Bitcoin-friendly former BlackRock ETF lead as CEO - The Block,0.0,Neutro
2024-05-15 07:00:00,Largest corporate bitcoin holder MicroStrategy added to key global equity index - The Block,0.0,Neutro
2024-05-15 07:00:00,Creator Of The Bitcoin ASIC Says Next Wave Of Mining Efficiency Is Coming - Bitcoin Magazine,0.0,Neutro
2024-05-15 07:00:00,"Yes, Vanguard’s new CEO supported BlackRock’s bitcoin ETF launch - Blockworks",0.1364,Positivo (Comprar)
2024-05-15 07:00:00,Futures exchange CME plans to launch bitcoin trading - Financial Times,0.0,Neutro
2024-05-15 07:00:00,Biden orders closure of a Chinese bitcoin mine near an Air Force base in Cheyenne - Wyoming Public Media,-0.175,Negativo (Vender)
2024-05-16 07:00:00,Wisconsin pension fund now includes bitcoin - WPR,0.0,Neutro
2024-05-16 07:00:00,"Futures exchange operator CME Group plans to launch bitcoin trading, FT reports - Reuters",0.0,Neutro
2024-05-16 07:00:00,The Great Script Restoration: A Path Forward For Bitcoin - Bitcoin Magazine,0.8,Positivo (Comprar)
2024-05-17 07:00:00,Steven Cohen's Point72 Also an Owner of Bitcoin Via Spot ETFs - CoinDesk,0.0,Neutro
2024-05-17 07:00:00,Nation taps 'volcano power' to mine $29m in Bitcoin - Recharge News,0.0,Neutro
2024-05-17 07:00:00,Bitcoin’s Correlation With Tech Stocks Jumps to Highest Level Since August - Bloomberg,0.0,Neutro
2024-05-17 07:00:00,"Investment scam: Bitcoin easy money scheme tricked Durham couple; scammers made off with more than $70,000 - ABC11 Raleigh-Durham",0.4667,Positivo (Comprar)
2024-05-17 07:00:00,Bitcoin mining energy consumption rebounds from a post-halving trough - S&P Global,0.0,Neutro
2024-05-18 07:00:00,The Bitcoin Halving Is Done. 3 Cryptocurrencies to Buy Now. - Yahoo Finance,0.0,Neutro
2024-05-20 07:00:00,Bitcoin fund behemoth Grayscale announces CEO succession - InvestmentNews,0.0,Neutro
2024-05-20 07:00:00,"Self-proclaimed bitcoin inventor lied 'repeatedly' to support claim, says UK judge - Reuters",0.0,Neutro
2024-05-20 07:00:00,Ripple's Anti-Bitcoin Campaign To Promote CBDCs - Forbes,0.0,Neutro
2024-05-20 07:00:00,How to Buy Bitcoin (BTC): Your Complete Guide - The Motley Fool,0.35,Positivo (Comprar)
2024-05-20 07:00:00,"Craig Wright Lied About Creating Bitcoin and Faked Evidence, Judge Rules - WIRED",0.0,Neutro
2024-05-20 07:00:00,Bitcoin Price Falls. What’s Holding Back a Crypto Rally. - Barron's,0.0,Neutro
2024-05-20 07:00:00,Bitcoin Pizza Day: A Slice of History - Finance Magnates,0.0,Neutro
2024-05-20 07:00:00,CME planning spot bitcoin trading – report - ledgerinsights.com,0.0,Neutro
2024-05-21 07:00:00,"Bitcoin rises to $70,206 - Reuters",0.0,Neutro
2024-05-21 07:00:00,"‘I’m really sorry:’ Chris Pan on Ohio State Bitcoin speech, and how he was picked - NBC4 WCMH-TV",-0.5,Negativo (Vender)
2024-05-21 07:00:00,Ecash Makes Bitcoin (And Fiat) Private With Calle’s Cashu - Bitcoin Magazine,0.0,Neutro
2024-05-21 07:00:00,Share of Bitcoin Volume During US Market Hours Surges to Record - Bloomberg,0.0,Neutro
2024-05-21 07:00:00,Trump's campaign says it will begin accepting contributions through cryptocurrency - PBS,0.0,Neutro
2024-05-21 07:00:00,Understand bitcoin as a store of value: A guide for physicians - Healio,0.0,Neutro
2024-05-21 07:00:00,Dismantling The Cash Flow Narrative: Real Estate Vs. Bitcoin - Bitcoin Magazine,0.2,Positivo (Comprar)
2024-05-22 07:00:00,Everything to know about Bitcoin Pizza Day - qz.com,0.0,Neutro
2024-05-22 07:00:00,Happy Bitcoin Pizza Day - CoinDesk,0.8,Positivo (Comprar)
2024-05-22 07:00:00,WisdomTree gets approval to list bitcoin and ethereum ETPs on LSE - ETF Stream,0.0,Neutro
2024-05-23 07:00:00,SEC approves rule change to allow creation of ether ETFs - CNBC,-0.1,Neutro
2024-05-23 07:00:00,Bitcoin And Wall Street: Insights From Alex Thorn Of Galaxy Digital - Bitcoin Magazine,0.0,Neutro
2024-05-23 07:00:00,How Spot Bitcoin ETFs Work: Are They Right for You? - Kiplinger,0.2857,Positivo (Comprar)
2024-05-23 07:00:00,"CrossBorder Capital‘s Howell: ‘Bitcoin will hit $250,000’ - ETF Stream",0.0,Neutro
2024-05-23 07:00:00,Bitcoin Identity Trial Concludes Dr. Craig Wright Is Not the Creator of Bitcoin - Morgan Lewis,0.0,Neutro
2024-05-23 07:00:00,It's Bitcoin Pizza Day: The Story Behind $700 Million In BTC Spent on One Dinner - Yahoo Finance,-0.25,Negativo (Vender)
2024-05-23 07:00:00,Lyn Alden: Bitcoin’s Price Could Go To $1 Million Amid Lagging CBDCs - Forbes,0.0,Neutro
2024-05-24 07:00:00,"State is 'underinvested' in bitcoin EFTs despite recent purchase, says UW-Whitewater professor - WPR",0.0,Neutro
2024-05-27 07:00:00,Bitcoin ETNs debut on London Stock Exchange - Yahoo Finance UK,0.0,Neutro
2024-05-27 07:00:00,A comparative analysis of Silverkite and inter-dependent deep learning models for bitcoin price prediction - Frontiers,0.0,Neutro
2024-05-28 07:00:00,Bitcoin Retreats as Traders Mull Risk of Sales Linked to Mt. Gox - Bloomberg,0.0,Neutro
2024-05-28 07:00:00,Semler Scientific® Announces Bitcoin Treasury Strategy - PR Newswire,0.0,Neutro
2024-05-28 07:00:00,"Med tech stock Semler Scientific takes bitcoin play from MicroStrategy's book, surges 37% - CNBC",0.0,Neutro
2024-05-28 07:00:00,Cryptoverse: Miners trudge through post-halving world - Reuters,0.0,Neutro
2024-05-28 07:00:00,Compensation in cryptocurrency tokens and other digital assets: what employers should know - Reuters,-0.0625,Neutro
2024-05-28 07:00:00,Janet Yellen Issues Serious $34 Trillion Warning As Bitcoin Predicted To Surge To $1 Million Price - Forbes,-0.3333,Negativo (Vender)
2024-05-28 07:00:00,21Shares lists four bitcoin and ethereum ETNs on LSE - ETF Stream,0.0,Neutro
2024-05-28 07:00:00,How Researchers Cracked an 11-Year-Old Password to a $3 Million Crypto Wallet - WIRED,0.0,Neutro
2024-05-28 07:00:00,Nouria to Install 57 Bitcoin Depot Kiosks - CSP Daily News,0.0,Neutro
2024-05-28 07:00:00,Bitcoin slips in wake of failed $9B crypto exchange - InvestmentNews,-0.5,Negativo (Vender)
2024-05-28 07:00:00,Bitcoin and Ether Differences ETF Investors Should Know - ETF Trends,0.0,Neutro
2024-06-01 07:00:00,"Bitcoin Could Soar 5,453% by 2030, According to Cathie Wood. But Is That Realistic? - The Motley Fool",0.3833,Positivo (Comprar)
2024-06-02 07:00:00,Forget the S&P 500: Bitcoin Could Still Be the Best Long-Term Investment if You Want to Retire a Millionaire - The Motley Fool,0.8,Positivo (Comprar)
2024-06-02 07:00:00,Missing Cryptoqueen Ruja Ignatova’s links to Bulgaria underworld - BBC,-0.2,Negativo (Vender)
2024-06-03 06:38:11,On-Chain Data: A Framework to Evaluate Bitcoin - Ark Invest,0.0,Neutro
2024-06-03 07:00:00,Bitcoin billionaire to pay DC $40 million in tax fraud settlement - Courthouse News,0.0,Neutro
2024-06-03 07:00:00,"Bitcoin miners sink millions into AI businesses, seeking billions in return - CNBC",0.0,Neutro
2024-06-03 07:00:00,Amount of Bitcoin and Ether on Exchanges Reach Record Multi-Year Lows - unchainedcrypto.com,0.0,Neutro
2024-06-03 07:00:00,"In Rural Pennsylvania, Crypto Mining Offers a Lifeline for Dying Gas Wells - Capital & Main",0.0889,Neutro
2024-06-03 07:00:00,Bitcoin’s bubbly behaviors: does it resemble other financial bubbles of the past? - Nature,-0.125,Negativo (Vender)
2024-06-03 07:00:00,Bitcoin in the Permian? Data centers test Texas grid. - E&E News by POLITICO,0.0,Neutro
2024-06-04 07:00:00,TeraWulf Announces May 2024 Production and Operations Update - TeraWulf,0.0,Neutro
2024-06-05 07:00:00,Core Scientific Announces May 2024 Production and Operations Updates - Core Scientific,0.0,Neutro
2024-06-05 07:00:00,10 Steps To Self-Sovereignty With Bitcoin - Bitcoin Magazine,0.0,Neutro
2024-06-05 07:00:00,HRF Grants 10 BTC To Worldwide Projects Advancing Bitcoin - Bitcoin Magazine,0.0,Neutro
2024-06-05 07:00:00,Marathon Digital Holdings Announces Bitcoin Production and Mining Operation Updates for May 2024 - MARA Holdings,0.0,Neutro
2024-06-06 07:00:00,Invesco lists bitcoin ETP on London Stock Exchange - ETF Stream,0.0,Neutro
2024-06-06 07:00:00,Bitcoin Price Slips. Here’s What Could Send the Crypto to a Record High. - Barron's,0.16,Positivo (Comprar)
2024-06-06 07:00:00,Cryptocurrencies use massive amounts of power – but eco-friendly alternatives come with their own risks - The Conversation,0.3,Positivo (Comprar)
2024-06-07 07:00:00,Breez Brings Bitcoin’s Lightning Network To Every Crypto Wallet - Bitcoin Magazine,0.0,Neutro
2024-06-09 07:00:00,"Bitcoin on Base price today, BTCB to USD live price, marketcap and chart - CoinMarketCap",-0.3318,Negativo (Vender)
2024-06-10 07:00:00,Cryptocurrency Market News: Why Bitcoin Remains Under $70K Despite Big ETF Flows - Investopedia,0.0,Neutro
2024-06-10 07:00:00,Trump Is The Best Choice For Bitcoin - Bitcoin Magazine,1.0,Positivo (Comprar)
2024-06-10 07:00:00,Cashu: A Vision For A Bitcoin Powered Ecash Ecosystem - Bitcoin Magazine,0.0,Neutro
2024-06-10 07:00:00,What to do if your online love interest offers to teach you how to invest your money - Consumer Advice | Federal Trade Commission (.gov),0.3,Positivo (Comprar)
2024-06-10 07:00:00,Beyond Bitcoin and Ether: 10 cryptocurrencies you need to know - qz.com,0.0,Neutro
2024-06-10 07:00:00,Bitcoin And The FTX Bankruptcy - Forbes,0.0,Neutro
2024-06-11 07:00:00,Trump says he wants all remaining Bitcoin to be made in the US - Reuters,0.2,Positivo (Comprar)
2024-06-11 07:00:00,"Cryptocurrencies fall as investors await Fed decision, bitcoin dips under $67,000 - CNBC",0.0,Neutro
2024-06-11 07:00:00,'My head is hurting so bad': Nebraska residents voice noise concerns regarding bitcoin mining site - KETV,-0.7,Negativo (Vender)
2024-06-11 07:00:00,Donald Trump Says He Wants All Remaining Bitcoin to Be 'Made in USA' - CoinDesk,0.2,Positivo (Comprar)
